"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
6090393,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","INDEPENDENT ELEM.",95,93,97.8947368421053,1,1.05263157894737,0,0,1,1.05263157894737,93,97.8947368421053,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,Y
6113005,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","JENSEN RANCH ELEM.",72,66,91.6666666666667,6,8.33333333333333,0,0,0,0,67,93.0555555555556,67,93.0555555555556,71,98.6111111111111,67,93.0555555555556,69,95.8333333333333,71,98.6111111111111,Y
6090401,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","MARSHALL ELEM.",73,62,84.9315068493151,10,13.6986301369863,0,0,1,1.36986301369863,66,90.4109589041096,69,94.5205479452055,71,97.2602739726027,65,89.041095890411,67,91.7808219178082,70,95.8904109589041,Y
6090419,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","PALOMARES ELEM.",24,24,100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,Y
6090435,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","PROCTOR ELEM.",76,73,96.0526315789474,1,1.31578947368421,0,0,2,2.63157894736842,74,97.3684210526316,74,97.3684210526316,74,97.3684210526316,73,96.0526315789474,74,97.3684210526316,74,97.3684210526316,Y
6090468,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","STANTON ELEM.",71,65,91.5492957746479,3,4.22535211267606,0,0,3,4.22535211267606,66,92.9577464788732,67,94.3661971830986,68,95.7746478873239,67,94.3661971830986,68,95.7746478873239,68,95.7746478873239,Y
6090484,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","VANNOY ELEM.",50,50,100,0,0,0,0,0,0,50,100,50,100,50,100,50,100,50,100,50,100,Y
6118038,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"DOUGHERTY ELEM.",118,106,89.8305084745763,10,8.47457627118644,1,0.84745762711864,1,0.84745762711864,112,94.9152542372881,113,95.7627118644068,115,97.4576271186441,110,93.2203389830508,112,94.9152542372881,115,97.4576271186441,Y
6001374,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"DUBLIN ELEM.",115,106,92.1739130434783,5,4.34782608695652,0,0,4,3.47826086956522,106,92.1739130434783,106,92.1739130434783,111,96.5217391304348,106,92.1739130434783,111,96.5217391304348,111,96.5217391304348,Y
6001390,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"FREDERIKSEN ELEM.",116,110,94.8275862068966,6,5.17241379310345,0,0,0,0,110,94.8275862068966,110,94.8275862068966,116,100,110,94.8275862068966,116,100,116,100,Y
0123935,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"HAROLD WILLIAM KOLB",117,98,83.7606837606838,18,15.3846153846154,0,0,1,0.85470085470085,104,88.8888888888889,105,89.7435897435898,115,98.2905982905983,104,88.8888888888889,115,98.2905982905983,116,99.1452991452991,Y
0114579,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"JOHN GREEN ELEMENTARY",117,94,80.3418803418803,21,17.9487179487179,0,0,2,1.70940170940171,99,84.6153846153846,100,85.4700854700855,112,95.7264957264957,97,82.9059829059829,112,95.7264957264957,112,95.7264957264957,Y
6001424,ALAMEDA,PUBLIC,"DUBLIN UNIFIED",DUBLIN,"MURRAY ELEM.",73,68,93.1506849315068,3,4.10958904109589,0,0,2,2.73972602739726,69,94.5205479452055,68,93.1506849315068,71,97.2602739726027,70,95.8904109589041,71,97.2602739726027,71,97.2602739726027,Y
6090492,ALAMEDA,PUBLIC,"EMERY UNIFIED",EMERYVILLE,"ANNA YATES ELEMENTARY",60,33,55,26,43.3333333333333,0,0,1,1.66666666666667,33,55,41,68.3333333333333,57,95,36,60,57,95,56,93.3333333333333,Y
6104723,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"ARDENWOOD ELEM.",112,87,77.6785714285714,25,22.3214285714286,0,0,0,0,93,83.0357142857143,92,82.1428571428571,112,100,90,80.3571428571429,111,99.1071428571429,111,99.1071428571429,Y
6000681,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"AZEVEDA (JOSEPH) ELEM.",87,87,100,0,0,0,0,0,0,87,100,87,100,87,100,87,100,87,100,87,100,Y
6000541,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"BLACOW ELEM.",67,51,76.1194029850746,15,22.3880597014925,0,0,1,1.49253731343284,55,82.089552238806,56,83.5820895522388,64,95.5223880597015,65,97.0149253731343,65,97.0149253731343,66,98.5074626865672,Y
6000558,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"BRIER ELEM.",112,112,100,0,0,0,0,0,0,112,100,112,100,112,100,112,100,112,100,112,100,Y
